  Iteration		V-variation
    1		  1.0
    2		  0.95
    3		  0.9025000000000001
    4		  0.8573749999999998
    5		  0.8145062499999995
    6		  0.7737809374999998
    7		  0.7350918906250001
    8		  0.69833729609375
    9		  0.6634204312890626
    10		  0.630249409724609
    11		  0.5987369392383783
    12		  0.5688000922764598
    13		  0.540360087662636
    14		  0.5133420832795057
    15		  0.48767497911553015
    16		  0.4632912301597525
    17		  0.4401266686517662
    18		  0.4181203352191769
    19		  0.397214318458218
    20		  0.37735360253530636
    21		  0.3584859224085424
    22		  0.34056162628811393
    23		  0.32353354497370823
    24		  0.3073568677250229
    25		  0.29198902433877194
    26		  0.2773895731218339
    27		  0.26352009446574165
    28		  0.25034408974245537
    29		  0.23782688525533224
    30		  0.22593554099256608
    31		  0.21463876394293813
    32		  0.2039068257457899
    33		  0.1937114844585004
    34		  0.1840259102355759
    35		  0.1748246147237964
    36		  0.1660833839876048
    37		  0.15777921478822776
    38		  0.14989025404881673
    39		  0.14239574134637323
    40		  0.1352759542790558
    41		  0.12851215656510462
    42		  0.12208654873684921
    43		  0.1159822213000048
    44		  0.11018311023500615
    45		  0.10467395472325336
    46		  0.09944025698709069
    47		  0.09446824413773669
    48		  0.08974483193085092
    49		  0.08525759033430802
    50		  0.08099471081759191
    51		  0.07694497527671373
    52		  0.07309772651287716
    53		  0.06944284018723224
    54		  0.06597069817787116
    55		  0.06267216326897795
    56		  0.05953855510552941
    57		  0.05656162735025205
    58		  0.05373354598274105
    59		  0.05104686868360275
    60		  0.048494525249424214
    61		  0.04606979898695229
    62		  0.043766309037604145
    63		  0.04157799358572589
    64		  0.03949909390643924
    65		  0.03752413921111497
    66		  0.035647932250562064
    67		  0.033865535638032185
    68		  0.032172258856132174
    69		  0.030563645913325388
    70		  0.02903546361765663
    71		  0.027583690436774333
    72		  0.026204505914936504
    73		  0.024894280619189857
    74		  0.023649566588229476
    75		  0.022467088258817824
    76		  0.021343733845878177
    77		  0.02027654715358551
    78		  0.019262719795904104
    79		  0.01829958380610819
    80		  0.0173846046158026
    81		  0.01651537438501549
    82		  0.01568960566576294
    83		  0.01490512538247657
    84		  0.014159869113349544
    85		  0.013451875657683132
    86		  0.012779281874799153
    87		  0.012140317781060617
    88		  0.011533301892004744
    89		  0.010956636797406105
    90		  0.010408804957535267
    91		  0.009888364709659925
    92		  0.009393946474176573
    93		  0.008924249150467745
    94		  0.008478036692942226
    95		  0.008054134858298312
    96		  0.007651428115380554
    97		  0.007268856709611526
    98		  0.006905413874132904
    99		  0.006560143180426081
    100		  0.006232136021402823
    101		  0.005920529220333037
    102		  0.0056245027593178065
    103		  0.005343277621353337
    104		  0.005076113740283716
    105		  0.004822308053270774
    106		  0.0045811926506047485
    107		  0.004352133018077353
    108		  0.004134526367170821
    109		  0.003927800048813879
    110		  0.0037314100463738953
    111		  0.003544839544055378
    112		  0.0033675975668501223
    113		  0.0031992176885076162
    114		  0.0030392568040831236
    115		  0.002887293963880211
    116		  0.0027429292656862003
    117		  0.002605782802401535
    118		  0.0024754936622812806
    119		  0.0023517189791668613
    120		  0.0022341330302069196
    121		  0.0021224263786976394
    122		  0.0020163050597616916
    123		  0.0019154898067768045
    124		  0.0018197153164365432
    125		  0.0017287295506136502
    126		  0.0016422930730826124
    127		  0.0015601784194281265
    128		  0.0014821694984590295
    129		  0.001408061023536078
    130		  0.0013376579723569648
    131		  0.0012707750737419587
    132		  0.001207236320052374
    133		  0.0011468745040517092
    134		  0.0010895307788487685
    135		  0.0010350542399066853
    136		  0.00098330152790993
    137		  0.0009341364515158546
    138		  0.0008874296289391737
    139		  0.0008430581474918597
    140		  0.0008009052401192207
    141		  0.0007608599781114833
    142		  0.0007228169792057315
    143		  0.000686676130246866
    144		  0.0006523423237325687
    145		  0.0006197252075459403
    146		  0.0005887389471688209
    147		  0.0005593019998109128
    148		  0.0005313368998223211
    149		  0.0005047700548281853
split
  Iteration		Number of different actions
    1		  950
    2		  656
    3		  403
    4		  338
    5		  808
    6		  856
    7		  461
    8		  500
    9		  625
    10		  465
    11		  467
    12		  273
    13		  365
    14		  541
    15		  667
    16		  622
    17		  273
    18		  365
    19		  541
    20		  667
    21		  622
    22		  273
    23		  365
    24		  541
    25		  667
    26		  622
    27		  273
    28		  365
    29		  541
    30		  667
    31		  622
    32		  273
    33		  365
    34		  541
    35		  667
    36		  622
    37		  273
    38		  365
    39		  541
    40		  667
    41		  622
    42		  273
    43		  365
    44		  541
    45		  667
    46		  622
    47		  273
    48		  365
    49		  541
    50		  667
    51		  622
    52		  273
    53		  365
    54		  541
    55		  667
    56		  622
    57		  273
    58		  365
    59		  541
    60		  667
    61		  622
    62		  273
    63		  365
    64		  541
    65		  667
    66		  622
    67		  273
    68		  365
    69		  541
    70		  667
    71		  622
    72		  273
    73		  365
    74		  541
    75		  667
    76		  622
    77		  273
    78		  365
    79		  541
    80		  667
    81		  622
    82		  273
    83		  365
    84		  541
    85		  667
    86		  622
    87		  273
    88		  365
    89		  541
    90		  667
    91		  622
    92		  273
    93		  365
    94		  541
    95		  667
    96		  622
    97		  273
    98		  365
    99		  541
    100		  667
    101		  622
    102		  273
    103		  365
    104		  541
    105		  667
    106		  622
    107		  273
    108		  365
    109		  541
    110		  667
    111		  622
    112		  273
    113		  365
    114		  541
    115		  667
    116		  622
    117		  273
    118		  365
    119		  541
    120		  667
    121		  622
    122		  273
    123		  365
    124		  541
    125		  667
    126		  622
    127		  273
    128		  365
